127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000732
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.001509
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006265
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000377
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.000396
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000322
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000222
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/default/index, HTTP/1.1, 200, 0.021667
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000344
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002218
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002614
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002091
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.001689
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000631
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.001471
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.002207
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000964
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000274
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000301
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.001026
127.0.0.1, 2016-04-07 19:21:15, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000543
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/default/index, HTTP/1.1, 200, 0.020591
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000303
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000251
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001482
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.000244
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000274
